Date,INR=X,TCS.NS,^BSESN
2022-10-04,0.6419939855844969,0.05977721037199224,0.19448619713752158
2022-10-05,0.6395328485735652,0.05977721037199224,0.19448619713752158
2022-10-06,0.6548241022132419,0.06569475225876875,0.19902947932748827
2022-10-07,0.7132345781158014,0.04539431884957157,0.19813573375627636
2022-10-10,0.7535515282661622,0.07479008140218157,0.1923293334593279
2022-10-11,0.7192158984232053,0.04794242488419043,0.16785443730852978
2022-10-12,0.706970039300546,0.06503733046183591,0.18173638629931554
2022-10-13,0.7008047860745599,0.06643405349456666,0.17040718676585787
2022-10-14,0.700146064376522,0.06416051949446522,0.19026583265520625
2022-10-17,0.7185571767251666,0.07547658605991359,0.20450808982505575
2022-10-18,0.7003630924915276,0.09357701290682452,0.22045036709511612
2022-10-19,0.7080125379878757,0.08102485018598116,0.2247023435214437
2022-10-20,0.7672911263504592,0.10049858463410777,0.22747841606711616
2022-10-21,0.7530010024025842,0.08956685925983376,0.2305022854642389
2022-10-24,0.7292762016897649,0.10291574322369335,0.24571624167297212
2022-10-25,0.7476453085967956,0.10313557982275867,0.23737125497604872
2022-10-26,0.7212678006014421,0.10313557982275867,0.23737125497604872
2022-10-27,0.6882585243997523,0.10055361835531196,0.24354600806863713
2022-10-28,0.7210342248882249,0.10376719990216232,0.24943455409823367
2022-10-31,0.7040748460596031,0.12019215568129948,0.2722546386278921
2022-11-01,0.7449340482744358,0.15675020656288297,0.2831249551031083
2022-11-02,0.7412222947063603,0.14686218303410303,0.27688108629063635
2022-11-03,0.7582313163296162,0.1276631697633699,0.27485996135411517
2022-11-04,0.7409969927922484,0.13351344821311906,0.2781651657225006
2022-11-07,0.6820353545800257,0.14246738991018604,0.284975443524639
2022-11-08,0.6696055625387833,0.14246738991018604,0.284975443524639
2022-11-09,0.6345023787172437,0.13277176069130703,0.28057821078209777
2022-11-10,0.6293808970707575,0.12705854454450272,0.2684000209386641
2022-11-11,0.5575643208324719,0.18764962759023884,0.30266589528991106
2022-11-14,0.5587404731976644,0.19838940608323963,0.297709051825233
2022-11-15,0.6000330951964239,0.19679641102583445,0.30492688576576477
2022-11-16,0.6066572260497383,0.20929368916834945,0.3080517094357007
2022-11-17,0.642018806981814,0.20580508815835397,0.3013769437663174
2022-11-18,0.6444882177918503,0.2027561603464887,0.2988499144211423
2022-11-21,0.6440707091600508,0.16982407106359743,0.2838062548140232
2022-11-22,0.6614055911788572,0.1871006326640794,0.2917573952120709
2022-11-23,0.6603459084472307,0.1834476762048507,0.2944148379893534
2022-11-24,0.6534971121258897,0.22291699602385084,0.3165203112972024
2022-11-25,0.6553746280768191,0.22813520696556888,0.3171283030232577
2022-11-28,0.6565673280402233,0.23121172620947417,0.32325320215396314
2022-11-29,0.6549488456459134,0.23236519721162474,0.3283883868368318
2022-11-30,0.6533303632516034,0.22876712533072419,0.34050731844830007
